Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1422648,Credit reporting,,Credit reporting company's investigation,Investigation took too long,CO,80220,Web,6/16/2015,6/16/2015,TransUnion,In progress,Yes,
1422667,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NV,89128,Web,6/16/2015,6/16/2015,"Coast to Coast Financial Solutions, Inc.",Closed with explanation,Yes,Yes
1422710,Credit reporting,,Incorrect information on credit report,Account terms,TX,75043,Web,6/16/2015,6/17/2015,Equifax,Closed with explanation,Yes,
1422689,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,95758,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,Yes
1422673,Credit reporting,,Incorrect information on credit report,Account terms,,77498,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1422687,Credit reporting,,Incorrect information on credit report,Account status,FL,33773,Postal mail,6/16/2015,6/18/2015,Equifax,Closed with explanation,Yes,
1422677,Credit reporting,,Incorrect information on credit report,Account status,TX,77002,Web,6/16/2015,6/16/2015,Equifax,Closed with non-monetary relief,Yes,
1422701,Bank account or service,Checking account,"Account opening, closing, or management",,NC,27295,Referral,6/16/2015,6/18/2015,Wells Fargo,Closed with explanation,Yes,
1422694,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,WA,,Web,6/16/2015,6/18/2015,Kondaur Capital Corporation,Closed with explanation,Yes,
1422690,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,95758,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1422693,Credit reporting,,Incorrect information on credit report,Account status,,46268,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1422692,Credit reporting,,Incorrect information on credit report,Account status,,46268,Web,6/16/2015,6/16/2015,Equifax,Closed with explanation,Yes,
1422709,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,34108,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
1422708,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,FL,34108,Web,6/16/2015,6/16/2015,Experian,Closed with explanation,Yes,
1422993,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NY,10032,Postal mail,6/16/2015,6/18/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1422717,Bank account or service,Checking account,Problems caused by my funds being low,,NY,12553,Phone,6/16/2015,6/17/2015,JPMorgan Chase,Closed with explanation,Yes,
1422723,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,UT,84119,Web,6/16/2015,6/17/2015,Solidus Group LLC.,Closed with explanation,Yes,
1423190,Payday loan,,Charged bank acct wrong day or amt,,IL,62249,Web,6/16/2015,6/16/2015,Cottonwood Financial Ltd.,Closed with explanation,Yes,Yes
1422744,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,34477,Web,6/16/2015,6/16/2015,Ocwen,Closed with explanation,Yes,Yes
1424286,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,AL,35611,Web,6/16/2015,6/16/2015,"Harvard Collections, LLC",Closed with explanation,Yes,
1423012,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,AZ,85331,Referral,6/16/2015,6/18/2015,U.S. Bancorp,Closed with explanation,Yes,
1422973,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,CA,90292,Web,6/16/2015,6/16/2015,Bank of America,Closed with explanation,Yes,Yes
1422861,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AZ,85355,Web,6/16/2015,6/18/2015,Patenaude & Felix APC,Closed with explanation,Yes,
1422934,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,OH,44320,Referral,6/16/2015,6/18/2015,Ocwen,Closed,Yes,
1422868,Credit card,,Advertising and marketing,,MN,55425,Web,6/16/2015,6/16/2015,U.S. Bancorp,Closed with monetary relief,Yes,
1422865,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,WA,98041,Web,6/16/2015,6/16/2015,TransUnion,Closed with explanation,Yes,
1422924,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,FL,33324,Web,6/16/2015,6/16/2015,Experian,In progress,Yes,
